wave,total,vacc_group,decline_group,decline_total_group,other_reason_group,declined_accepted_group,vaccinated_and_declined_group,preg_group,sevment_group,learndis_group,immuno_group,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,total_percent,vacc_group_percent,decline_group_percent,decline_total_group_percent,other_reason_group_percent,declined_accepted_group_percent,vaccinated_and_declined_group_percent,preg_group_percent,sevment_group_percent,learndis_group_percent,immuno_group_percent,ethnicity_1_percent,ethnicity_2_percent,ethnicity_3_percent,ethnicity_4_percent,ethnicity_5_percent,ethnicity_6_percent
0,23702000,8860817,108514,125685,4452,10220,6944,352835,0,0,0,11471005,435869,2017344,746123,766871,8264760,100.0,37.4,0.5,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,48.4,1.8,8.5,3.1,3.2,34.9
1,252637,242697,3990,6335,63,1617,714,0,17535,9800,8414,168273,665,2597,2275,945,77847,100.0,96.1,1.6,2.5,0.0,0.6,0.3,0.0,6.9,3.9,3.3,66.6,0.3,1.0,0.9,0.4,30.8
2,2578870,2467794,53746,86520,966,26530,6230,0,17717,1302,114121,1541281,8722,67417,35126,11144,915152,100.0,95.7,2.1,3.4,0.0,1.0,0.2,0.0,0.7,0.1,4.4,59.8,0.3,2.6,1.4,0.4,35.5
3,4754792,4530071,84315,128310,2450,27321,16667,0,40180,7175,196917,3101231,17206,134099,47712,27363,1427146,100.0,95.3,1.8,2.7,0.1,0.6,0.4,0.0,0.8,0.2,4.1,65.2,0.4,2.8,1.0,0.6,30.0
4,1991549,1733942,64946,87066,1904,16695,5404,25487,61838,63644,337995,996331,36876,254135,140497,35672,528017,100.0,87.1,3.3,4.4,0.1,0.8,0.3,1.3,3.1,3.2,17.0,50.0,1.9,12.8,7.1,1.8,26.5
5,2503298,2311820,45703,58275,1449,8337,4228,0,24185,5901,38983,1573439,13559,106036,34482,23093,752661,100.0,92.4,1.8,2.3,0.1,0.3,0.2,0.0,1.0,0.2,1.6,62.9,0.5,4.2,1.4,0.9,30.1
6,4324663,3592463,105910,128989,3479,16877,6188,34832,342223,187894,246400,2557660,53074,318066,120078,54698,1221066,100.0,83.1,2.4,3.0,0.1,0.4,0.1,0.8,7.9,4.3,5.7,59.1,1.2,7.4,2.8,1.3,28.2
7,2152038,1912043,33614,44352,1253,6594,4130,0,0,0,0,1291101,15337,70763,44114,23947,706741,100.0,88.8,1.6,2.1,0.1,0.3,0.2,0.0,0.0,0.0,0.0,60.0,0.7,3.3,2.0,1.1,32.8
8,2804333,2426235,42462,60858,1603,12320,6062,0,0,0,0,1636243,25718,97713,75488,35525,933625,100.0,86.5,1.5,2.2,0.1,0.4,0.2,0.0,0.0,0.0,0.0,58.3,0.9,3.5,2.7,1.3,33.3
9,3114629,2605862,49105,62328,1848,9296,3920,0,0,0,0,1760122,34412,159334,96488,50246,1013992,100.0,83.7,1.6,2.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,56.5,1.1,5.1,3.1,1.6,32.6
total,48178872,30683800,592347,788753,19530,135856,60543,413168,503713,275744,942858,26096742,641487,3227567,1342453,1029546,15841042,100.0,63.7,1.2,1.6,0.0,0.3,0.1,0.9,1.0,0.6,2.0,54.2,1.3,6.7,2.8,2.1,32.9
