wave,high_level_ethnicity,Vaccinated,Declined then received,Declined - all,total,per_1000,per_1000_vacc,converted
Other,White,1934905,2212,26649,4328100,0.511078764,1.143208581,83.00499081
Other,Mixed,42266,84,1071,143003,0.587400264,1.987413051,78.43137255
Other,South Asian,254975,553,3675,686406,0.805645638,2.168840082,150.4761905
Other,Black,54838,154,1610,199983,0.770065456,2.808271636,95.65217391
Other,Other,63602,119,1162,247331,0.481136614,1.871010346,102.4096386
Other,Unknown,1402919,1631,19600,3854312,0.423162422,1.162576029,83.21428571
In care home,White,63371,378,1477,65282,5.790263779,5.964873523,255.9241706
In care home,Mixed,196,0,7,217,0,0,0
In care home,South Asian,637,7,35,686,10.20408163,10.98901099,200
In care home,Black,357,14,49,406,34.48275862,39.21568627,285.7142857
In care home,Other,273,0,7,287,0,0,0
In care home,Unknown,40271,259,980,41552,6.233153639,6.431427082,264.2857143
80+,White,558929,4634,13944,573580,8.079082255,8.290856263,332.3293173
80+,Mixed,2100,98,336,2590,37.83783784,46.66666667,291.6666667
80+,South Asian,19712,1057,2492,22589,46.79268671,53.62215909,424.1573034
80+,Black,5782,595,1687,7658,77.69652651,102.905569,352.6970954
80+,Other,3297,105,518,4053,25.90673575,31.84713376,202.7027027
80+,Unknown,482426,4732,15400,502516,9.41661559,9.808758234,307.2727273
70-79,White,1176392,5432,24787,1215130,4.470303589,4.61750845,219.1471336
70-79,Mixed,4389,126,455,5376,23.4375,28.70813397,276.9230769
70-79,South Asian,39508,980,2940,45066,21.74588381,24.80510276,333.3333333
70-79,Black,7798,343,1463,10661,32.17334209,43.98563734,234.4497608
70-79,Other,7770,210,1064,9898,21.21640736,27.02702703,197.3684211
70-79,Unknown,748391,3689,18865,785092,4.698812368,4.929241533,195.5473098
CEV,White,363951,2730,14595,399854,6.827492035,7.501009751,187.0503597
CEV,Mixed,9345,224,1015,12271,18.25442099,23.97003745,220.6896552
CEV,South Asian,73388,1456,4683,88298,16.48961471,19.83975582,310.9118087
CEV,Black,23324,686,3241,33152,20.69256757,29.41176471,211.663067
CEV,Other,9387,217,1001,12432,17.45495495,23.11707681,216.7832168
CEV,Unknown,258377,2072,10808,287714,7.201596029,8.019289643,191.7098446
65-69,White,587468,1778,12222,620704,2.864489354,3.026547829,145.4753723
65-69,Mixed,3374,49,259,4305,11.38211382,14.52282158,189.1891892
65-69,South Asian,31101,469,1603,36043,13.01223539,15.07990097,292.5764192
65-69,Black,5593,119,700,7980,14.9122807,21.27659574,170
65-69,Other,5831,84,595,8050,10.43478261,14.4057623,141.1764706
65-69,Unknown,366765,1260,8967,397754,3.167787125,3.435442313,140.5152225
At risk,White,846755,3521,27657,983710,3.57930691,4.158227586,127.3095419
At risk,Mixed,11844,105,952,17766,5.910165485,8.865248227,110.2941176
At risk,South Asian,84189,896,3787,109242,8.2019736,10.64272055,236.5988909
At risk,Black,18305,280,1939,30604,9.149130833,15.29636711,144.4043321
At risk,Other,13552,140,903,19628,7.132667618,10.33057851,155.0387597
At risk,Unknown,534723,2387,17150,629566,3.791500812,4.463993507,139.1836735
60-64,White,475391,1519,9359,515347,2.947528558,3.19526453,162.3036649
60-64,Mixed,3577,21,182,4844,4.335260116,5.870841487,115.3846154
60-64,South Asian,20041,182,833,24682,7.373794668,9.081383165,218.487395
60-64,Black,6559,56,525,10178,5.502063274,8.537886873,106.6666667
60-64,Other,5719,42,392,8463,4.962779156,7.343941248,107.1428571
60-64,Unknown,310541,1148,7385,351365,3.267257695,3.696774339,155.450237
55-59,White,586502,2583,12698,649383,3.977621835,4.404077053,203.4178611
55-59,Mixed,6006,49,287,8330,5.882352941,8.158508159,170.7317073
55-59,South Asian,26971,196,903,33915,5.779153767,7.267064625,217.0542636
55-59,Black,11312,98,791,17808,5.503144654,8.663366337,123.8938053
55-59,Other,8505,63,434,12698,4.961411246,7.407407407,145.1612903
55-59,Unknown,395556,2065,9800,456827,4.520310752,5.220499752,210.7142857
50-54,White,614453,1743,12516,697732,2.498093824,2.836669363,139.261745
50-54,Mixed,7875,35,322,11242,3.113325031,4.444444444,108.6956522
50-54,South Asian,43701,245,1218,56525,4.334365325,5.606279033,201.1494253
50-54,Black,14861,119,882,24122,4.933255949,8.007536505,134.9206349
50-54,Other,11599,63,504,17731,3.553099092,5.431502716,125
50-54,Unknown,411257,1638,9709,490448,3.339803608,3.982910929,168.7094448
